figure,v11_asset,asset_sha256,asset_width_units,asset_height_units,presentation_assets,current_latex_directive,target_width_mm,grid_policy,bold_policy,source_class,source_asset,source_exists,presentation_builder,v11_action,status
Figure S6,manuscript/latex_v11_overleaf/figures/figure_s6.png,0b113950b2bbffc55afe9104228d11768e07388b84ebc7b03a6d71e62d603295,4061,3374,figure_s6.png:0b113950b2bbffc55afe9104228d11768e07388b84ebc7b03a6d71e62d603295,width=170mm,170,no background grid,panel labels only,frozen publication asset plus deterministic presentation transform,manuscript/figures/supplementary/archival_S6_authoritative.png,True,analysis/rebuild_v10_gridfree_figures.py,"audit source; native rebuild where available, otherwise deterministic transform",validated
Figure S7,manuscript/latex_v11_overleaf/figures/figure_s7.png,ff1cfc6e1dc4e98d0e832f05b51e0be36bcbc40bab6858bfc4eb084112bfde64,4016,2362,figure_s7.png:ff1cfc6e1dc4e98d0e832f05b51e0be36bcbc40bab6858bfc4eb084112bfde64,width=170mm,170,no background grid,panel labels only,frozen publication asset plus deterministic presentation transform,manuscript/figures/supplementary/Supplementary_Figure_S7_complete_metric_comparison.png,True,analysis/rebuild_v10_gridfree_figures.py,"audit source; native rebuild where available, otherwise deterministic transform",validated
Figure S8,manuscript/latex_v11_overleaf/figures/figure_s8.png,4e0d86e42c40b816f0b5e9c1972e4b1de83ce6806db4ec1d315459800e695881,4016,4961,figure_s8_a.png:7daf7aed32e9e43fde6c6c66e6fac3d7666923667e0e72a45c7394cd0e9e1015; figure_s8_bc.png:c99d6a7f6b9019d9a260ebf1a9127c12d11138379c03bf3c648e330d4cfcc5bc,width=170mm; width=170mm,170,no background grid,panel labels only,frozen publication asset plus deterministic page split,manuscript/figures/supplementary/Supplementary_Figure_S8_run_level_stability.png,True,scripts/prepare_170mm_figure_assets.py,split across continued pages at 170 mm,validated
Figure S9,manuscript/latex_v12_overleaf/figures/figure_s9.pdf,ec2bb544d1a1caacf9361dfb2502a308edd3ccd73f825ce8b2ca924048f391e8,478.604,359.863,figure_s9.pdf:ec2bb544d1a1caacf9361dfb2502a308edd3ccd73f825ce8b2ca924048f391e8; figure_s9.svg:dd4dd720d0a8b732f3cb3937444ff119d78bbc4e8aa775147075647611b43fc3; figure_s9.png:3f0cef8cb0a24dcb03b64943bb1fcbc79ed6dc578240ede13794a9fa2c663c07,width=170mm,170,no background grid,panel labels only,machine-readable aggregate tables plus native plotting builder,supplementary_data/cgga_tuned_rf_s9/nested_cv_auroc.csv,True,scripts/build_cgga_s9_clean.py,removed redundant settings block and rebuilt deterministically without scientific recomputation,validated
Figure S10,manuscript/latex_v11_overleaf/figures/figure_s10.png,5ec272f428acab22c6e793184da779de366e6642b59b513505e61592757a4671,4016,2457,figure_s10.png:5ec272f428acab22c6e793184da779de366e6642b59b513505e61592757a4671,width=170mm,170,no background grid,panel labels only,frozen publication asset plus deterministic presentation transform,manuscript/figures/supplementary/Supplementary_Figure_S10_computational_characterization.png,True,analysis/rebuild_v10_gridfree_figures.py,"audit source; native rebuild where available, otherwise deterministic transform",validated
Figure S11,manuscript/latex_v11_overleaf/figures/figure_s11.png,c87583bf0b8ae2d43aa2a6b88b65c63294a851cce42b843c296ad06ff80b943f,2007,2137,figure_s11.png:c87583bf0b8ae2d43aa2a6b88b65c63294a851cce42b843c296ad06ff80b943f,width=170mm,170,no background grid,panel labels only,frozen publication asset plus deterministic presentation transform,manuscript/figures/supplementary/Supplementary_Figure_S11_CGGA_size_matched_comparators.png,True,analysis/rebuild_v10_gridfree_figures.py,"audit source; native rebuild where available, otherwise deterministic transform",validated
Figure S12,manuscript/latex_v11_overleaf/figures/figure_s12.png,4a75a05e3d8dc9596a8e7e80cb9d61a288d22fba2be0097ae31042e66e36452b,4015,4606,figure_s12.png:4a75a05e3d8dc9596a8e7e80cb9d61a288d22fba2be0097ae31042e66e36452b,width=170mm,170,no background grid,panel labels only,frozen publication asset plus deterministic presentation transform,outputs/AMPAD_Figure3_publication_assets_20260731/figures/supplementary/Supplementary_Figure_S12_AMPAD_paired_performance_differences.png,True,analysis/rebuild_v10_gridfree_figures.py,"audit source; native rebuild where available, otherwise deterministic transform",validated
Figure S13,manuscript/latex_v11_overleaf/figures/figure_s13.png,8a3cca454de3158a4335fd0f25ad514c83be3313c09de3ab3977ad3cb717e17f,4015,2480,figure_s13.png:8a3cca454de3158a4335fd0f25ad514c83be3313c09de3ab3977ad3cb717e17f,width=170mm,170,no background grid,panel labels only,frozen publication asset plus deterministic presentation transform,outputs/AMPAD_Figure3_publication_assets_20260731/figures/supplementary/Supplementary_Figure_S13_AMPAD_stability_and_modality.png,True,analysis/rebuild_v10_gridfree_figures.py,"audit source; native rebuild where available, otherwise deterministic transform",validated
Figure S14,manuscript/latex_v11_overleaf/figures/figure_s14.png,3a93f7087acd3c3b66b71232b34a521ece8f6440395956a7a18e8fec3f46fc97,4016,4488,figure_s14.png:3a93f7087acd3c3b66b71232b34a521ece8f6440395956a7a18e8fec3f46fc97,width=170mm,170,no background grid,panel labels only,frozen publication asset plus deterministic presentation transform,manuscript/figures/main/Figure_4/Figure_4_candidate_restricted_interoperability.png,True,analysis/rebuild_v10_gridfree_figures.py,"audit source; native rebuild where available, otherwise deterministic transform",validated
Figure S15,manuscript/latex_v11_overleaf/figures/figure_s15.png,bbed9db5e2c11cae5bef145506a38da3c4416b36cc139c478e51d3cc88808668,2376,1165,figure_s15.png:bbed9db5e2c11cae5bef145506a38da3c4416b36cc139c478e51d3cc88808668,width=170mm,170,no background grid,panel labels only,frozen publication asset plus deterministic presentation transform,analysis/regret_revision/supplementary_figures/figure_s15.png,True,analysis/rebuild_v10_gridfree_figures.py,"audit source; native rebuild where available, otherwise deterministic transform",validated
Figure S16,manuscript/latex_v11_overleaf/figures/figure_s16.pdf,398ad0397ac6ccb6fe722d0fc06a9ad87b3dc16ae2afe6dc33947b5a7ff354e9,465.658,145.118,figure_s16.pdf:398ad0397ac6ccb6fe722d0fc06a9ad87b3dc16ae2afe6dc33947b5a7ff354e9,width=170mm,170,no background grid,panel labels only,machine-readable table plus native plotting builder,,False,scripts/build_v11_revision_figures.py,native rebuild,validated
Figure S17,manuscript/latex_v11_overleaf/figures/figure_s17.png,c9ebda3e7ffd5edf42ae777800df98d281f5f0b7edabdf3260e1b24c7583fd28,2283,1022,figure_s17.png:c9ebda3e7ffd5edf42ae777800df98d281f5f0b7edabdf3260e1b24c7583fd28,width=170mm,170,no background grid,panel labels only,frozen publication asset plus deterministic presentation transform,analysis/regret_revision/supplementary_figures/figure_s17.png,True,analysis/rebuild_v10_gridfree_figures.py,"audit source; native rebuild where available, otherwise deterministic transform",validated
Figure S18,manuscript/latex_v11_overleaf/figures/figure_s18.pdf,b5ba5171e024f94b1e4058a51cd40b8222c5df63d9f7704d02e27cb2b5b0b4fd,481.890,554.400,figure_s18.pdf:b5ba5171e024f94b1e4058a51cd40b8222c5df63d9f7704d02e27cb2b5b0b4fd,width=170mm,170,no background grid,panel labels only,machine-readable table plus native plotting builder,manuscript/latex_v10_overleaf/supplementary_data/recommended_mode_120_run/summary/proposed_table_s16_24_conditions.csv,True,supplementary_data/recommended_mode_120_run/scripts/build_ampad_four_center_objective_sensitivity_s18.py,native rebuild,validated
Figure S19,manuscript/latex_v12_overleaf/figures/figure_s19.png,361a318edfa5d684248ca7e2a352219e1093f2b461560e60c8c52c5163228d60,4016,5398,figure_s19_ab.png:d844d46226512162f78d5e1f5a1e4505a5ee461f29476f6d533e1aa187efc39c; figure_s19_cd.png:742e007bd2fc2be209740bf0a9ed181f04c4ed28849e378bede130745a9bf469,width=170mm; width=170mm,170,no background grid,panel labels only,byte-identical archived V10 main Figure 5,,False,scripts/prepare_170mm_figure_assets.py,archive source unchanged; split only in the blank band after complete panel b,validated
Figure S20,not_applicable,0247d0fc7edcb7d5d981c534b2f1bef183e1c949ccba29f71ab3dd861cf44ae2,native_170mm,native,figure_s20.pdf:0247d0fc7edcb7d5d981c534b2f1bef183e1c949ccba29f71ab3dd861cf44ae2; figure_s20.svg:82710701bee0ab4f03c3ec8047526d6202074df6e42fc8807c47d44628daaf4e; figure_s20.png:df79b7108539090b4779e96f187f76a91de7ee4f5d13b6a61ab639094118eea,width=170mm,170,no background grid,panel labels only,machine-readable aggregate tables plus native plotting builder,supplementary_data/private_radiomics/radiomics_condition_summary.csv,True,scripts/build_radiomics_s20.py,native deterministic rebuild,validated
Figure S21,not_applicable,860634b0d65cb368333c544658c6d58f6a7797616e8a8e44a7335f547f417cd4,native_170mm,native,figure_s21.pdf:860634b0d65cb368333c544658c6d58f6a7797616e8a8e44a7335f547f417cd4; figure_s21.svg:4d12ad05b4a5b5b871b8686216f18eb75056f4119888779f060e1d23dfa6848a; figure_s21.png:63f71182afb98e739f1dba537201d9e3343247d0539a507e9943a0d8396a4e25,width=170mm,170,no background grid,panel labels only,machine-readable aggregate tables plus native plotting builder,supplementary_data/postfreeze_ampad/condition_metrics.csv,True,scripts/build_postfreeze_results.py,native deterministic rebuild with interpanel label-clearance assertion,validated
Figure S22,not_applicable,309d824398e51f43707363a725c39b44c9391de4a68d2d56f9a5ca303ab9347a,native_170mm,native,figure_s22.pdf:309d824398e51f43707363a725c39b44c9391de4a68d2d56f9a5ca303ab9347a; figure_s22.svg:4f6b0697c7c334ab10c86eb6aeed67ea062ab541f6225374e9b3f688c81ba084; figure_s22.png:f69a2b377ba006c15a7a008fe1c2a29fc75c5f5d7f02f6d71cc5379c747d2516,width=170mm,170,no background grid,panel labels only,machine-readable aggregate tables plus native plotting builder,supplementary_data/cgga_coherent_benchmark/benchmark_metrics.csv,True,scripts/build_postfreeze_results.py,native deterministic rebuild with interpanel label-clearance assertion,validated
Figure S23,not_applicable,e74e884523233cb8df2919cb741dc68f04c526e651c79884ea90cc416751f63e,native_170mm,native,figure_s23.pdf:e74e884523233cb8df2919cb741dc68f04c526e651c79884ea90cc416751f63e; figure_s23.svg:492d05152ae4f77eab7d64d6105943d42dae21a40b8c5adb2e17f61c583117d5; figure_s23.png:bb3516e1aa70dca0725bca04e712cbf9cd9f613388968b3f0a6bcb41bf0de12a,width=170mm,170,no background grid,panel labels only,machine-readable aggregate tables plus native plotting builder,supplementary_data/cgga_nested_relock/fold_selection_comparison.csv,True,scripts/build_postfreeze_results.py,native deterministic rebuild with interpanel label-clearance assertion,validated
Figure S24,not_applicable,3c76ef792f2a806e3d64a1fbd2d0c74ac58a5c53457d0eeac9b05c4a8769873b,native_170mm,native,figure_s24.pdf:3c76ef792f2a806e3d64a1fbd2d0c74ac58a5c53457d0eeac9b05c4a8769873b; figure_s24.svg:be6969e153bb04caf641d530b4495898f65396c3172db388d1fcb4cf60042e31; figure_s24.png:4ac37dabc18bfce4db96415d1a3e6a77238bfea0fdea4abbf4721b3d0d161e83,width=170mm,170,no background grid,panel labels only,machine-readable aggregate tables plus deterministic vector builder,supplementary_data/locking_rule_simulation/figure_s24_panel_a.csv,True,scripts/build_locking_simulation_s24.py,native deterministic rebuild,validated
